                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      0,                      0,                0.00335,                   0.78,                0.02584,                0.00879,                      0,                 222.25,                      0,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                      0,                      0,                      0,                0.00405,                   0.78,                0.02251,                0.00562,                      0,                 222.25,                      0,              7.623e-05,              7.623e-05,              7.623e-05
                      3,                      0,                      0,                      0,                0.00475,                   0.84,                0.01635,                0.00637,                      0,                  221.5,                      0,             0.00011737,             0.00011737,             0.00011737
                      4,                      0,                      0,                      0,                0.01061,                   0.84,                0.02311,                 0.0068,                      0,                 219.38,                      0,             0.00015675,             0.00015675,             0.00015675
                      5,                      0,                      0,                      0,                0.01427,                   0.88,                0.03278,                0.00904,                      0,                 217.88,                      0,             0.00019437,             0.00019437,             0.00019437
                      6,                      0,                      0,                      0,                0.01023,                   0.88,                 0.0353,                0.00636,                      0,                 216.75,                      0,             0.00023023,             0.00023023,             0.00023023
                      7,                      0,                      0,                      0,                0.00859,                   0.84,                0.03171,                0.00838,                      0,                  216.5,                      0,             0.00026433,             0.00026433,             0.00026433
                      8,                      0,                      0,                      0,                0.00887,                   0.78,                0.03192,                0.00765,                      0,                 215.62,                      0,             0.00029667,             0.00029667,             0.00029667
                      9,                      0,                      0,                      0,                0.00735,                    0.8,                0.02255,                0.00461,                      0,                 212.62,                      0,             0.00032726,             0.00032726,             0.00032726
                     10,                      0,                      0,                      0,                0.00482,                   0.78,                0.03204,                0.00861,                      0,                    208,                      0,             0.00035608,             0.00035608,             0.00035608
                     11,                      0,                      0,                      0,                0.00627,                   0.78,                0.02327,                0.00556,                      0,                 206.25,                      0,             0.00038314,             0.00038314,             0.00038314
                     12,                      0,                 8.5937,                      0,                0.00868,                   0.58,                0.10389,                0.03081,                      0,                 191.38,                      0,             0.00040844,             0.00040844,             0.00040844
                     13,                      0,                      0,                      0,                0.00428,                    0.6,                  0.055,                0.01957,                      0,                 185.12,                      0,             0.00043198,             0.00043198,             0.00043198
                     14,                      0,                      0,                      0,                0.00404,                   0.64,                0.08348,                0.02588,                      0,                 183.62,                      0,             0.00045377,             0.00045377,             0.00045377
                     15,                      0,                 8.1044,                      0,                 0.0032,                   0.84,                 0.0046,                0.00123,                      0,                 177.12,                      0,             0.00047379,             0.00047379,             0.00047379
                     16,                      0,                      0,                      0,                0.00123,                   0.54,                0.00288,                0.00061,                      0,                 146.12,                      0,             0.00049205,             0.00049205,             0.00049205
                     17,                      0,                      0,                      0,                0.00092,                   0.44,                0.00093,                0.00043,                      0,                 111.81,                      0,             0.00050855,             0.00050855,             0.00050855
                     18,                      0,                 7.6529,                      0,                0.00192,                   0.38,                0.00313,                 0.0008,                      0,                   82.5,                      0,              0.0005233,              0.0005233,              0.0005233
                     19,                      0,                      0,                      0,                0.00199,                   0.72,                0.00919,                0.00177,                      0,                 79.312,                      0,             0.00053628,             0.00053628,             0.00053628
                     20,                      0,                      0,                      0,                0.00187,                   0.64,                0.00985,                0.00202,                      0,                  78.25,                      0,              0.0005475,              0.0005475,              0.0005475
                     21,                      0,                      0,                      0,                 0.0006,                   0.04,                0.00038,                  4e-05,                      0,                 125.69,                      0,             0.00055697,             0.00055697,             0.00055697
